Product,Consumer complaint narrative
Debt collection,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Credit reporting or other personal consumer reports,"Experian, XXXX, and XXXX are incorrectly reporting payment history for my mortgage with XXXX XXXX. The mortgage was paid in full. I have never been late with payments. I want this corrected because they have negatively impacted my credit. They reported late payments and dropped my score nearly XXXX points. Once the load was paid in full my score went up only XXXX points. The credit bureaus are purposely keeping scores low in order to help companies charge higher interest rates to consumers especially XXXX XXXX XXXX. The game is rigged. Its sickening and I plan to sue them."
Credit reporting or other personal consumer reports,"In accordance with the Fair Credit Reporting Act, XXXX Account XXXX XXXX has violated my rights. 

15 U.S.C 1681 section 602A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions."
Checking or savings account,chase bank closed my account with no explanation to me even though i asked for a reason when i went to get my money out of my account they would not give me my money because they restricted my account that is my money i work hard for my money i will not except a check i want cash in hand this has put me in a bind as i have no cash for food gas or even money for food for me or my daughter!!! i need my money i will take this to court if i need to i do not work for free and withholding a persons money is illegal i want this resolved by today and i want my cash chase bank will not be getting anymore money out of me at all!
Debt collection,"While talking with XXXX XXXX at XXXX XXXX XXXX about the debt in question I disputed the validity of the debt. After getting him to send me an email of what was owed and to whom I informed him that I did not know this was on my credit report and I would be disputing the entire debg. It was at that time I was called various names and profanities. This seemed completely unaceptable for anyone, especialy someone talking with people all day. After XXXX  the company and person I found that this is something this person does to alot of people. I received another message saying that the conversation was recorded and hope that can be used to stop this for anyone else."
"Payday loan, title loan, or personal loan","The loan is for a remodeled kitchen. The loan was entered into on XXXX, with first payment due XX/XX/21. The amount was $ XXXX with 7.6 % interest. 

It was communicated to us that the loan can cover any physical goods ( i.e. Kitchen Cabinets, appliances, etc ), and the work or the labor for the remodel. 

Cabinets were ordered immediately. They were approximately $ XXXX The cabinets first arrived in late XXXX, but a few were damaged. The replacement ones came in early XXXX. 

The first day of labor was early XXXX. 

During this time I have been charged interest on the $ XXXX. Even though from XXXX to early XXXX, no labor was performed. I expected to be charged interest on the $ XXXX for the cabinets but not the $ XXXX as no work had started. 

As we went through XXXX and as recently as yesterday, work is promised then cancelled ( usually without any courtesy cancellation call/text/email ). 

Delay after delay. No urgency. All the while I'm charged appx {$300.00} a month in interest, or {$2100.00} through XXXX. I feel I should only have been charged $ XXXX 7.6 % /12*6 = {$570.00} for the purchase of the cabinets. 

Thank you, XXXX"
Credit card,"The following is a recap of what happened in chronological order : XXXX XXXX XXXX XXXX  I made a reservation through XXXX XXXX XXXX to stay at the XXXX XXXX XXXX XXXX in XXXX XXXX XXXX, XXXX XX/XX/year> to XX/XX/year>. I was charged {$75.00} XXXX XXXX  that day for the reservation. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  for our stay and {$76.00} incidental charges ). 

This is a double charge for the same stay. I made a claim with Citibank, providing them the proof I was double charged. Citibank will not credit one of the charges even though they're both on the same credit card."
Debt collection,Called Perdue Brandon Fielder Collins & Mott LLP and tried to change my address so that they stop mailing letters to my old address and annoying those tenants. They can't find me in their system and they refuse to help me. I couldn't even pay the debt if I wanted to because they can't look me up. They've been mailing me letters for 20 years now for a trumped-up ticket in XXXX XXXX that I've tried unsuccessfully to settle multiple times. Stop harassing me!!
Credit card or prepaid card,Checking on my credit report and noticed this account is open that should have been closed.
Credit card or prepaid card,I have not received a direct deposit neither a debit card!
Debt collection,"To whom may concern This is a notice of default and opportunity to cure for Midland Credit Management Inc. as the affidavit sent in support of my claim was not rebutted and my demands in the cease and desist were not met. This is an opportunity to settle this dispute by acting in good faith by providing my request of remedy due to the wrongdoings done against me. 
You failed to respond my request, which is a FDCPA violation, and you continued to report a disputed debt to the Credit Bureaus : another FCRA violation and other several violations in the exhibit A ( attached ) Not only they ignored my prior requests for validation of debt included in the cease-and-desist letter ( proof attached : receipt copies or letter copies ) but they continue to report this debt to the credit bureaus causing damage to my character. 
These two certified letters, receipt number : XXXX Delivered : Thu, XX/XX/XXXX, XXXX PM and XXXX Delivered : Thu, XX/XX/XXXX, XXXX PM was to formally advise you that I believe your company has violated my consumer rights in the following ways. 
Specifically, you : - Failed to validate a debt at my request- FDCPA violation - Continued to report a disputed debt to the CRA- FCRA violation XXXX Continued to attempt to collect a disputed debt- FDCPA violation - Ignored my cease and desist- FDCPA violation As you certainly are aware, "" Admission by Silence '' means that you had a legal duty to defend your position but failed to do so and if my claims were untrue, you would have been compelled to deny my charges. I will use the Admission by Silence in my defense should I be summoned to court or take action against you. 

( Letter attached sent to you previously ) Pursuant to 15 USC 1692c ( c ) I am notifying them in writing that I refuse to pay this alleged debt, and I am demanding that you cease all forms of communication with through any and all mediums.

Pursuant to 15 USC 1692c ( c ) ( 2 ) I am invoking my specified remedy as a consumer, and the original creditor I am demanding all of the following : Zero out the balance on this account Deletion from all consumer reports. 

I will reproduce an invoice and send it to your company with Federal violations due to me by your company if you don't comply with my remedy"
Credit reporting or other personal consumer reports,"These can be combined on my credit report, you have shown incorrect accounts that should not be there at all. This is not only unjust to me, but it's also concerning, because I've never done or made any of the things you accuse me of. If you don't look into these accounts, I'll take legal action against you."
Credit reporting or other personal consumer reports,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX RE : Requesting you Block and Remove Fraud from My Consumer Report I am contacting you about the compromising of my social security number. I am a victim of a Data Breach/ Identity Theft. I contacted the Federal Trade Commission and filed an FTC Report Number : XXXX  which is attached. Please block and remove all information from my credit report and send me an updated copy of the credit report. 

Under 15 USC 1681c-2 c ( a ) the credit reporting agency must block and remove any alleged pieces of information the consumer considers identity theft within 4 business days of receiving a complaint consisting of the information below. 

1.Identity Theft. 
XXXX Account XXXX I need to see all bank transaction that belong to this company that would proved my payments were not accepted on time or you need to removed these unverified late payment 2.Identity Theft. 
XXXX Account XXXX Please investigate and delete from my credit report. 
XXXX XXXX XXXX XXXX XXXXXXXX Please remove it from my credit report. 
4.Identity Theft. 
XXXX Account XXXX 5.Identity Theft. 
XXXX XXXX XXXX XXXXXXXX Please ensure that all information is accurate XXXX Theft. 
XXXX Account XXXX I need to see all bank transaction that belong to this company that would proved my payments were not accepted on time or you need to removed these unverified late payment 7.Identity Theft. 
XXXX Account XXXX XXXX Theft. 
XXXX XXXX XXXX XXXX XXXXXXXX have not supplied proof under the doctrine of estoppel by silence XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  i my presume that no proof of the alleged debt nor therefore any such debt in fact exists Failure to respond satisfactorily will result in a small claims action against your Agency. I will be seeking damages but not limited to and each violation is a statutory cost of {$1000.00} each Per 15 U.S.C 1692k : 1. Defamation of Character 2. Negligent Enhancement of Identity Fraud 3. Violation of the Fair Credit Reporting Act 4. Violation under 15 U.S. Code 1681o - Civil liability for negligent non compliance 5. Violation under 15 US Code 1681n ( b ) - Civil liability for willful non-compliance 6. Failing to comply with 15 USC 1692 ( g ) 7. Violation under 15 U.S. Code 1681b Permissible purposes of consumer reports 8. Under 15 U.S.C. 1681i ( 7 ) Method of verification 9. Violations under 15 USC 1681 a ( 4 ) right to privacy 10. Violations under 15 U.S. Code 1681c - Requirements relating to information contained in consumer reports I expect this letter to be taken seriously and I demand this fraudulent account be blocked and removed from my report as I have provided you with the required pieces of information. 

Sincerely, XXXX XXXX"
Credit reporting or other personal consumer reports,"In XXXX, XXXX,XX/XX/XXXX, and XXXX, XXXX, XXXX and XX/XX/XXXX, I had late payments on my student loans when I was unemployed, still in school or barely making any money. As of XX/XX/XXXX I have paid all of my loans in full. I called MOHELA on XX/XX/XXXX and they said I need to file a complaint/dispute with them so they can investigate further into the exact reason I didn't pay on the intended date and then they can perhaps proceed to remove my bad credit on my report."
Debt collection,"Today ( XXXX XXXX, 2022 ) Midland Credit has already called me twice. The only reason I believe it is for credit problems is because I XXXX  the company. They call me over and over, more than once a day usually. 
I have excellent credit and have never owed any money to any company. Perhaps they have me mixed up with someone else because I have no idea why they keep harassing me with phone calls. I have never answered any and always block the numbers. But they seem to have endless phone numbers to continue calling me. I always report it on the regular "" Do not call registry '' to no avail. 
I hope you can take action that will stop this harassment. 
Thank you for your help. 
Sincerely, XXXX XXXX XXXX"
Debt collection,Collection account for XXXX for {$570.00}. Ive tried to settle the debt with the collectors but the collectors will not agree to a deletion letter or pay for deletion.
Debt collection,"I was contacted multiple times by the company regarding a debt. I told the company that the debt is not mine. I was told basically that it is mine and I need to pay now. Caller was matter of fact. 
I was not told that I can dispute within a specific timeframe or any information except to pay or else."
Credit card or prepaid card,"In XX/XX/2021 my husband and I went to Lowes Home Improvement store to purchase decking supplies. The sales person at the Pro Shop desk sold us on opening up a business advantage credit card so we would get the 20 % off our purchase for new applicants and a 5 % discount each time we made a purchase at Lowes for having a business account.

We agreed to applying since it would afford us time to pay the amount and we would also get our order by the beginning of summer. Unfortunately the total for the supplies maxed the credit limit on both my card and my husbands. 

On XX/XX/XXXX my husband and I both received a letter from Synchrony Bank indicating our accounts were closed due to few commercial financial accounts and few open commercial credit card accounts. 

This is very unfortunate as we never indicated to the sales person we were contractors or professional commercial builders. This credit card was recommended by that sales person and never advised us there was a possibility it could be closed in the near future for these reasons. 

Upon calling Synchrony Bank Lowes and speaking to a supervisor we were advised there was nothing they could do and recommended we apply for the Lowes Advantage credit card. 

I informed the supervisor how is that fair when we applied in XXXX and why was it approved if the credit report showed no commercial accounts. We no feel we were approved just to get is to make the purchase snd now we are locked into paying this money and the interest if we fail to payoff before the promotional period. 

Not only do we have no credit card but we will be subjected to another inquiry on our credit report. When this was already done back in XXXX. My credit report shows they checked my consumer credit history so for them to say they only checked my commercial credit history is untrue."
Mortgage,"I have been trying since XX/XX/XXXX to have my escrow account removed as PHH Mortgage has a form on their website to request this. 

They responded that they can not do that because it is not an owner-occupied property. 

I don't know where they got that as I have lived here continuously since I bought and moved into the residence XX/XX/XXXX. 

At their request, I have since sent numerous utility bills and other documentation including a current

Home Inspection Report reflecting that the property is owner-occupied at which point they stopped responding. I have called them to try to get resolution but have only gotten the run-around for 6 months."
Vehicle loan or lease,I gave the reasons for repayment due to the extra fees that was demanded cause my vehicle to be repossessed and then cause other fees that a cured during the length of the loan.
Credit reporting or other personal consumer reports,"I am submitting this complaint because my credit report contains late payment entries that were inaccurately reported by Nelnet. These late payments occurred while I was actively enrolled in a formal repayment program ( New Mexico Higher Education Loan Repayment program ) and I made all required payments on time or authorized them through the servicers system. The late reporting appears to be due to the servicers delay or administrative error, not any failure on my part. 

I have disputed these entries with the credit reporting agencies ( XXXX XXXX XXXX XXXX ) and included documentation showing I was compliant with the repayment program and that the late payment was incorrectly attributed to me.

Under the Fair Credit Reporting Act ( 15 U.S.C. 1681i ), I am requesting that these inaccurate entries be corrected or removed from my credit file. I am asking the CFPB to investigate this matter and ensure the furnisher and credit bureaus comply with their obligations under the law."
"Credit reporting, credit repair services, or other personal consumer reports","When I reviewed my credit report, I discovered that some of the information was erroneous. The 3 credit bureaus must validate these items in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate these reporting items as unverified information without providing any proof within the period allowed by law. The following items that need to be investigated and corrected from erroneous reporting in my file are listed on my credit report. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX"
"Money transfer, virtual currency, or money service","Cashapp has an offer for XXXX XXXX for 50 % off up to {$35.00}. The only reason we went to XXXX XXXX that night was because of the offer. XXXX XXXX  even has multiple signs around their business that speak to the same offer. As I was sitting in XXXX XXXX the waitress was telling me about the offer as well and I told her I already activated it. I activated the offer 2-3 days before even going to XXXX XXXX, but I made sure it was there before I paid my bill. My transaction was pending so I figured I had to wait for it to be completed to see the corrected amount. The offer completed XX/XX/XXXX and didn't display the offer so I immediately started a chat with a representative who wasn't helpful at all. She stated the offer expired XX/XX/XXXX at XXXX and when I told her my transaction took place XX/XX/XXXX she then changed the expiration date to XX/XX/XXXX. When the offer was in my app on Saturday XX/XX/XXXX it said it didn't expire for 4 days, which is also consistent with the displays and the top golf website. After the chat rep was so unhelpful, I ended up calling in. I was left on hold for over 30 mins and then it went to a survey which I expressed my dissatisfaction. I called again and after going back and forth with 2 representatives and being denied to speak to a supervisor because I don't have email... I was left on hold again until it went to a survey, which has motivated my contact with the XXXX. This is frustrating and unacceptable behavior for any business. I didn't make this offer up and just wanted my {$35.00} to be adjusted accordingly, but was met with horrible customer service."
"Credit reporting, credit repair services, or other personal consumer reports","I had to look up on Equifax 's sketchy website whether I was affected by their data breach. According to them, I most likely was. Why were we not notified earlier? And why are n't they automatically watching for fraud on my account? I have to opt-in, and the terms make me promise I wo n't sue them. 

I also had some fraud on a credit card a few weeks ago ; I wonder if this is related, given some of the breached data included credit card numbers."
Checking or savings account,"In XX/XX/year>, my first Cash App account, which I had been using for a long time without issues, was suddenly deactivated by Cash App. I was not provided with any explanation or details about why my account was closed. 

After this, I opened a new Cash App account to continue using the platform, as I was still unaware of the reason for the first accounts closure. However, this second account was deactivated almost immediately after opening. 

Since then, I have been emailing Cash App Support for over a month, repeatedly requesting clarification about why both accounts were closed. Unfortunately, all I have received are generic responses from different agents directing me to contact supportdespite the fact that I am already in contact with them. I have not received any meaningful assistance or resolution, leaving me with no clear understanding of what led to the closures or how to address this issue. 

This has caused significant inconvenience as I relied on Cash App for my financial transactions. I am seeking a detailed explanation of the reasons behind the deactivation of both accounts and, if possible, reconsideration of these decisions."
Debt collection,I have legal rights under the 15 U.S. Code 1681. Inaccurate information was collected and placed on my credit reporting and its stopping me from gaining employment. I never received a call or letter from the company informing me that I owe and offering payment options.
Checking or savings account,I came into the branch on Friday the XXXX right before XXXX XXXX to make a deposit that was done properly handled at the branch to which I had to come back in on XXXX  the XXXX to handle the missed proper deposit that was done to also be given a bald-faced lie that was told to me saying that they do not accept third-party checks when I was already told that they did all that was needed was for the other individual to sign it over or endorse it in front of the manager of the bank in order for me to make the deposits once I inform them of that then they went to look for the initial check that was given that XXXX  on the XXXX so they can reprocess it on XXXX  the XXXX which the funds should have been available on that XXXX  through the XXXX which I was told that the funds wouldn't be available till the XXXX to finally be told that my account was frozen and that I had to wait for a call to be given to me by one of the managers or be back office in regards to my account due to the deposit that I made at the branch cuz of it being so high in value and the account being brand new.
Credit card,"My capital one credit card went missing and a few unauthorized charges totaling around {$1800.00}. I followed the necessary procedures to file a fraud claim and was denied {$1100.00} of the charges stating there are "" no indications of fraud. '' This has been a sham with capital one since the day I reported this and I can not get anyone to help. I 've left numerous voicemails with no return calls and a certified appeal letter that has also gone ignored.. These XXXX particular charges that they are denying are from the same merchant and state that items were shipped to my address, but yet can not provide a tracking number not a delivery service in which I can follow up with. In addition, capital one stopped short of calling my family thieves and indicated that someone in my household must of made this transaction."
Student loan,"My daughter got a loan from Sallie Mae for her student dept. I co-signed with her on these two loans. Total amount of both loans were around {$7500.00}. XXXX XXXX she had a child. Her payment date was around the same time she was preparing to go into the hospital to deliver. Fast forward .... For 3 solid weeks, I have received harassing calls from Sallie Mae ... to the point of having four to six calls a day from three different numbers. I work nights and have to get my rest. i am an XXXX XXXX and work with XXXX that ranges from XXXX volts up to XXXX volts. She was only behind by {$100.00}. I finally got the opportunity to call SM and speak with them. I told them that I was not happy about them putting my life at risk by waking me up four to six times a day for {$100.00}. I sent them a letter back XXXX 2017 time frame requesting them to not call me, that by Ga law if I notify them in writing that my employer does not allow us to take personal calls while at work, they are not to call me. I told them that it is completely unacceptable to endanger my life for {$100.00}. I asked them if they felt my life was only worth {$100.00}? They were extremely rude back and I hung up. I contacted a lawyer on this matter and he advised me to file an official complaint for harassing phone calls against Sallie Mae here."
Credit card or prepaid card,"On XX/XX/2022, I contacted American Express customer service about not receiving my {$10.00} "" AMEX DINING CREDIT '' for the month of XXXX. I made a valid purchase on XX/XX/XXXX named "" XXXX $ XXXX Mon, XX/XX/2022 '' with the following details "" Which Wich Total : {$15.00} Ordered : XX/XX/2022 XXXX Order number : # XXXX Contact Restaurant : ( XXXX ) XXXX ''. This XXXX transaction used my XXXX {$10.00} dining credit instead of XXXX which resulted in me not receiving credit for the transaction made on XX/XX/XXXX. The initial customer support representative was very understanding and told me not to worry. They noted this on my account and the credit will be taken as the XXXX credit instead of XXXX as they will manually credit my account for the XXXX transaction once I've made it. 

After I made the XXXX transaction for the AMEX XXXXining Credit, I contacted customer support on XX/XX/XXXX to manually credit the transaction. This time the customer representative was not helpful and told me they couldn't. They thought I did not understand how it works. 

I will provide the timeline of the transactions below : XX/XX/2022 - XXXX order placed for {$7.00} XX/XX/2022 - American Express credits my account for {$7.00} of the {$10.00} XXXX credit XX/XX/2022 - XXXX  order placed for {$7.00} XX/XX/2022 - American Express credits my account for the remaining {$2.00} of the {$10.00} XXXX credit XX/XX/2022 - XXXX order placed for {$15.00} XX/XX/2022 - American Express credits my account for {$10.00} for what was supposed to be {$10.00} XXXX credit XX/XX/2022 - XXXX  order placed for {$11.00} No credit received for month of XXXX XX/XX/2022 - XXXX order placed for {$10.00} XX/XX/2022 - American Express credits my account for {$10.00} for the {$10.00} XXXX credit I have receipts and further proof if needed. I do not appreciate the hassle to be able to claim this credit when I was initially told it will be given to me by the first customer representative."
Debt collection,This debt collection has not been verified as my debt and I want it removed immediately from my credit file. I have the same name as another family member and I know this debt do not belong to me. I have made attempts to get this verification and have not been successful. Also medical bills are not allowed to be put on credit reports and supposed to be remove by XX/XX/year>.
Consumer Loan,I have a collection for {$20.00} that was paid directly to XXXX XXXX and they cashed my check on XXXX/XXXX/16. This should never have gone to collection. I 've sent plus4 the check copy and asked them to remove it from my credit report. They stated they wo n't remove it until other accounts are paid. I believe they can not do this as this was paid prior to them receiving the collection. I want this removed from my credit report.
Credit reporting or other personal consumer reports,"I lodged a complaint against these Bureaus a month ago, but unfortunately, the inaccurate information on my report still remains. Surprisingly, I haven't received any response or correspondence from the Bureaus, and they have already closed my complaint. Could you please explain why they closed my complaint without resolving the issue? Have they even acknowledged or verified my dispute? I need assurance that they have thoroughly checked the inaccuracies on my report and validated the accounts. Can you provide details about the methods they used to verify my report? This situation is incredibly frustrating! It has been more than 30 days since I filed the complaint, and I expected these accounts to be updated by now. If they are not updated immediately, I will have no other option but to take legal action due to the immense stress this has caused me. Moreover, I am also concerned about the security of my personal data, as it was affected by the XXXX, XXXX, and Transunion data breach."
Mortgage,"Appraisal was done on my property XXXX of XXXX by a realtor that Mr. Cooper sent out which was not accurate with comparison to other homes in my area so they denied the removal of my PMI, since then I have had a screened in porch added and according to a letter from my county on what my home is worth and also what Mr. Cooper has down on my estimated equity and home value I more than qualify for PMI removal but the problem is that I can not speak to anyone at Mr. Cooper. Every time that I call it's a machine that will ask you all of these questions but won't put a representative on the phone so I can get this PMI removed."
"Money transfer, virtual currency, or money service","I am filing a complaint against Cash App ( Block , Inc. ) due to inadequate customer service and unfair practices, which violate the Consumer Financial Protection Act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected.

Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Fund Transfer Act ( EFTA ) and Regulation E. These actions have caused significant inconvenience and financial loss, and I seek appropriate redress for these violations."
Credit reporting or other personal consumer reports,"These accounts and inquiries are involved in litigation and does not belong to me. I never established these accounts. These accounts are a result of fraud. I was contacted by a collection agency regarding the accounts that were obtained under my name. I have no knowledge of obtaining any of the accounts listed here in this affidavit report, and was told that I needed to complete this affidavit, along with submitting my personal identification to have the suspected fraudulent accounts investigated and removed immediately. 
( Original Creditor : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/year>"
Debt collection,"I am writing to inform you that I have been a victim of identity theft. As per FCRA Section 605b, it is mandatory for you to remove/block any account listed on an identity theft report. I have attached the necessary documents to assist you in blocking the erroneous information that is being posted on my report. I would like to bring to your attention the list of accounts that do not belong to me or were opened without my permission : XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX Opened Date : XX/XX/2018 Balance : {$100000.00}. Please remove these accounts ASAP. I withhold my consent for electronic communication and explicitly request that all responses be conveyed in written form through the United States Postal Service ( USPS ). I am the primary complainant in this matter, and I hereby grant full authority to the Consumer Financial Protection Bureau ( CFPB ) to thoroughly investigate and address this claim."
Debt collection,"I AM FORMALLY REQUESTING THE IMMEDIATE REMOVAL OF THE FRAUDULENT ACCOUNTS CURRENTLY LISTED ON MY CREDIT REPORT. I DID NOT AUTHORIZE THESE ACCOUNTS, AND THEIR INCLUSION REPRESENTS A SERIOUS BREACH OF MY PERSONAL AND FINANCIAL SECURITY. THESE ENTRIES ARE FALSE AND INACCURATE, AND THEIR PRESENCE IS DAMAGING TO THE INTEGRITY OF MY CREDIT FILE. I URGE YOU TO TAKE IMMEDIATE CORRECTIVE ACTION BY PERMANENTLY DELETING THESE ACCOUNTS FROM MY REPORT TO ENSURE ITS ACCURACY, COMPLETENESS, AND COMPLIANCE WITH THE FAIR CREDIT REPORTING ACT ( FCRA )."
"Credit reporting, credit repair services, or other personal consumer reports","I have contacted Equifax as well as the 3 companies concerning hard inquiries once I received my credit report. I spoke with a representative and he stated that it was nothing to be done other than wait for it to fall off my report. I filed a FTC report and informed the representative of this information. I didnt give permission for these companies to access my information. In accordance with the Fair Credit Reporting Act Section 611 ( 15 U.S.C. 1681I ), I am practicing my right to challenge questionable information that I have found on my personal credit report. I do not recognize the information listed below and request that you investigate the source of these accounts and ascertain that the creditor had a permissible purpose, and is able to verify my complete file information including full name, address, date of birth and SSN #."
Debt collection,They are trying to collect debt from XXXX which was never on my credit report history. They are also re-aging this account. They put it on my credit report and I am not responsible for it.
Credit card,I ususally purchase a drink off the XXXX XXXX shop this past time i decided to go the actual website to purchase which turned out the website i purchased from was a fake site you cant access the site anymore i tried emailing the email that was also attached and no reply back. i than reached out to the company that is on my the real product i receive and they told me that i had purchase off a fake site and they are aware of this and trying to get the fake pages blocked that i need to put a dispute in through my bank which i did. Bank of america refunded me the amount than charged me again today with a response i failed to return the item i cant return an item that the seller hasnt contacted me and you cant access the website either. when i called and they transferred me the lady response from bank of america is i need a certified letter stating the product is fake well how am i suppose to do that. i sent them pictures of the the real packaging and the fake packaging i sent them the email from the XXXX XXXX people on them replying that i ordered from a fake page i sent them the email that i tried to reach out to the seller and XXXX response and they told me there nothing they can do without a certified letter that the product is fake. I cant even believe that this was the response i got from Bank of America arent we suppose to be protected and be able to dispute things that are not real. i gave them all the emails and everything to prove my dispute and why i was disputing just to be denied the dispute after XXXX  months and already getting the credit back and i now i have to pay that credit card because of the credit back for fake product i cant even use.
Checking or savings account,"I am writing to file a complaint against Navy Federal Credit Union regarding multiple overdraft fees I have incurred. Despite having sufficient funds when transactions were authorized, I was charged fees due to lagged posting of charges and credits. This issue aligns with the recent CFPB findings against Navy Federal for similar practices, where transactions settled with insufficient balances despite initially available funds. I believe these practices are unfair and request an investigation into my account transactions."
"Credit reporting, credit repair services, or other personal consumer reports","In accordance with the Fair Credit Reporting act XXXX account # XXXX, has violated my rights.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions. 


In accordance with the Fair Credit Reporting act XXXX Account # XXXX, has violated my rights.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 section 604 A Section 2 : It also sates a consumer reporting agency can not furnish a account without my written instructions."
Checking or savings account,"I noticed that Chase started charing me monthly service fees. Those fees are supposed to be charged if there is less than $ XXXX in the account. I have always had over $ XXXX in the account- which Chase uses interest free from me. They use MY money to make interest for Chase and then charge me for taking advantage of me. When I called to request the improper XXXXXXXX XXXX XXXX  and XXXX XXXX, XXXX  fees to be removed, Chase blamed me and said there was nothing they could do."
Credit card or prepaid card,"On XX/XX/2022, I was in XXXX, XXXX at a restaurant called XXXX XXXX where {$470.00} was charged on my card. Only {$180.00} was supposed to be charged on my credit card. I paid {$370.00} USD ( XXXX pesos ) in cash and the rest of the bill was supposed to be charged on my card. Instead, the restaurant decided to charge the whole thing on my card. I tried to explain this to Chase Bank and was denied twice. The first time I tried was on XX/XX/2022. They didnt get back to me until XX/XX/2022. I called into the customer service number and they told me to contact the restaurant directly and the restaurant told me on XX/XX/2022, that its been too long and to handle it with my bank. So I called Chase again on XX/XX/XXXX and they told me that I could re-open my case and to write a letter and I can drop it off at any Chase Bank institution. I wrote a letter and had someone from Chase Bank submit it for me on XX/XX/XXXX. I waited a few weeks to call again to check if my letter had been received. No such letter was received when I had called in on XX/XX/XXXX, so the Chase representative told me to send the letter via email. They sent me a letter on XX/XX/XXXX and XX/XX/XXXX saying that theyd work on it. Fast forward to today, XX/XX/XXXX, is when I got another denial letter."
Checking or savings account,"My complaint is against Wells Fargo sense XXXX of XXXX and until now when they supposedly was going to close my account, for a supposed fraudulent check that was they never bothered to check and now have sent me a letter of apology and {$14.00}, which they felt was all they over charged my account. 

I was very upset with the fact that I opened my account in XXXX to do future merchant, business banking with Wells Fargo Bank and that I am a XXXX adult whom was attempting to start my own online business and attend online school to receive my degree in XXXX. 

That was when Wells Fargo Bank began there process of taking funds from my account, when in return they were not suppose to charge a fee for Social Security direct deposits ( XXXX ) and allowing charges to my account that were unauthorized. 
They started denying me funds and with holding my deposits until I telephoned them to allow my deposits through. 
They then ( after my move back to XXXX from XXXX )  decided to inform me that I tried depositing the same check twice, when I did not do so ( he lady bolding lied to me over the phone insisting this and was extremely rude ). 
They then withheld a {$420.00} bank fee refund from XXXX and a {$600.00} stimulus check telling me they were closing my account on the following Thursday which was over 2 months ago, in which they did not. 
They have caused me to lose employment of {$400.00} a week do to the fact I work XXXX online and that does not show responsible employee skills. 
They have caused 2 credit card companies to not only close but created animosity towards my partner and myself, from there employees, XXXX XXXX XXXX and XXXX XXXXXXXX ), which Wells Fargo refused to pay from my Bill pay, or would would just return as NSF, when funds were in the account. 
I owe XXXX  over {$1800.00} for the same exact reason ( Wells Fargo refusal to pay my bill pays ). 
They are not only unreliable, they purposely XXXX ( excuse my language ) there consumers off and cause financial hardshipXXXX stress  and do nothing for there community. 
And to make matters worse this was all during the time of XXXX when then new they could fraudulently hurt consumers in there community and have done nothing there webpage says. They sure as XXXX do not give hardship loans. let alone would they listen if anyone attempted to apply for one."
"Credit reporting, credit repair services, or other personal consumer reports",See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
